Hotel,Stars, Price for this weekend (April 30 - May 03) , (May 07 - May 10) for 2 adults ,Percentage of price change next weekend,Average price for further weekend,Percentage of price change Avg. further weekend, (May 14 - May 17) for 2 adults , (May 21 - May 24) for 2 adults , (May 28 - May 31) for 2 adults , (Jun 04 - Jun 07) for 2 adults , (Jun 11 - Jun 14) for 2 adults , (Jun 18 - Jun 21) for 2 adults 
Venetian Resort Hotel Las Vegas,5," $ 1,022.00 ", $ 591.00 ,42%, $ 798.71 ,22%, $ 999.00 ," $ 1,010.00 ", $ 886.00 , $ 649.00 , $ 623.00 , $ 833.00 
Hard Rock Hotel and Casino,4, $ 994.00 , $ 393.00 ,60%, $ 492.86 ,50%, $ 774.00 , $ 510.00 , $ 520.00 , $ 336.00 , $ 300.00 , $ 617.00 
Rumor Hotel,3, $ 982.00 , $ 276.00 ,72%, $ 321.25 ,67%,,,, $ 262.00 , $ 262.00 , $ 485.00 
Holiday Inn Club Vacations,3, $ 982.00 , $ 464.00 ,53%, $ 514.00 ,48%,, $ 544.00 , $ 514.00 , $ 373.00 , $ 373.00 , $ 816.00 
Vdara Hotel & Spa,5, $ 966.00 , $ 622.00 ,36%, $ 653.71 ,32%, $ 893.00 , $ 722.00 , $ 842.00 , $ 401.00 , $ 497.00 , $ 599.00 
Courtyard by Marriott Las Vegas South,3, $ 960.00 , $ 489.00 ,49%, $ 430.71 ,55%, $ 427.00 , $ 400.00 , $ 373.00 , $ 346.00 , $ 412.00 , $ 568.00 
"The Westin Casuarina Las Vegas Hotel, Casino & Spa",4, $ 957.00 , $ 404.00 ,58%, $ 423.29 ,56%, $ 610.00 , $ 409.00 , $ 368.00 , $ 252.00 , $ 260.00 , $ 660.00 
Caesars Palace Classic Hotel,4, $ 956.00 , $ 547.00 ,43%, $ 650.57 ,32%, $ 918.00 , $ 682.00 , $ 742.00 , $ 463.00 , $ 444.00 , $ 758.00 
Holiday Inn Express Las Vegas South,2, $ 943.00 , $ 428.00 ,55%, $ 411.29 ,56%, $ 437.00 , $ 418.00 , $ 379.00 , $ 361.00 , $ 361.00 , $ 495.00 
Element by Westin Las Vegas Summerlin,3, $ 937.00 , $ 489.00 ,48%, $ 499.14 ,47%, $ 534.00 , $ 541.00 , $ 461.00 , $ 400.00 , $ 400.00 , $ 669.00 
Platinum Hotel and Spa,4, $ 930.00 , $ 398.00 ,57%, $ 567.86 ,39%, $ 680.00 , $ 686.00 , $ 529.00 , $ 405.00 , $ 424.00 , $ 853.00 
Fairfield Inn & Suites Las Vegas South,3, $ 926.00 , $ 456.00 ,51%, $ 442.14 ,52%, $ 450.00 , $ 501.00 , $ 467.00 , $ 355.00 , $ 377.00 , $ 489.00 
Alexis Park Resort,3, $ 926.00 , $ 288.00 ,69%, $ 278.71 ,70%, $ 248.00 , $ 323.00 , $ 236.00 , $ 171.00 , $ 171.00 , $ 514.00 
