"Bilateral Remittance Estimates for 2014 using Migrant Stocks, Host Country Incomes, and Origin Country Incomes (millions of US$) (April 2015 Version)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remittance-receiving country (across) - Remittance-sending country (down),Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,World
Samoa,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,3,,,0,,,,,,,,12
San Marino,,0,,,,,,0,,,,0,,,,,0,0,0,,,,,,0,,0,,0,,,,,,,,,,,0,0,0,,,,,,0,,,,0,,,,0,0,0,,,,,,,,0,0,,,,,0,,,,,,,,,,,,,0,,0,,0,,,,0,11,,0,,0,,,,,,,0,,0,,,,,,0,,,0,,,,,,,,,,0,,0,,,,0,,,,,,,,,,0,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,,,,,0,,,,,,0,,,,,,,,,0,,,,,,,,,,0,0,,,,,0,,0,0,,,,,,,,,,,13
Sao Tome and Principe,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,8
Saudi Arabia,95,,,,,,,,,,,,,,,"3,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,573",,,,,157,,,,,,,,,,,,,,,,,,,,,,,,"10,836","3,281",,,,,,,,,"1,461",,,,,,,2,,,,"1,804",,,,,,,,,,,,,,,,,,,,,,,,51,,64,,"1,598",,,,,,334,,,,"4,489",,,,,,"3,235",,,,,,,,,,,,,,,,,,,,,,,,,"2,244",,,,,189,,,,,475,,,136,,,,,45,38,,,,,,,11,77,,,,,,,379,"2,159",,,"44,519"
Senegal,,,3,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,133,,,5,,3,0,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,22,,,,,,,,,,,5,,,,,,,,,1,9,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,212
Serbia,,0,,,,,,0,,,3,36,,,,,,0,4,,,,,,311,,0,,2,,,,,,0,,,,,,4,,,,,,,428,,,,5,1,,,,,,,,,,,,,,72,,,,,52,,1,,,,,,,,,,,26,,,,,0,,,,3,,,1,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,1,,,101,,,,,,1,,0,,,,,,,,,,,,,,3,,,,8,2,,,,,,,,,,,,3,56,,,0,,,,,,,,,,,11,8,0,,,,,,,,,0,,,,,3,,0,2,,,,,,,,,0,,"1,168"
Seychelles,,,,,,0,,0,,,0,0,0,,,0,,,1,,,,,,,,0,,0,,,,,,0,,,,,,3,,,,,,0,0,,,,0,0,,,,,0,,,,,0,,,0,3,,,,,0,0,0,,,,,0,,,0,,,0,0,27,0,0,,0,,0,0,,0,,,1,,,0,,,,,,0,,,,,0,0,,,2,0,0,0,,,,,1,,,,,0,,0,0,,0,0,0,,0,,,2,,0,0,0,,,0,,,3,,0,,,0,0,0,,,,,0,0,,0,,,0,,,,0,,0,2,0,,,,,,0,0,0,0,,0,1,,,,0,,,,,,0,0,,0,0,,,0,0,0,,,,0,,49
Sierra Leone,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,,0,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,,0,0,,,,,,10,0,,,,,,,1,,,,,,,,,0,,,0,,,0,,,,,,8,,16,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,30,,,,0,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,1,,,,,,,,,0,,74
Singapore,,,,,,,,,,,46,,,,,220,,,,,,,,,,,,,,,,,,,4,,,,,,"2,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,845,365,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,"1,010",,,,,,,,,,,,,,,,,,,,2,,,,,,,403,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,111,,,,,,,,,,,,,,35,,,,,,,,,,,"6,003"
Sint Maarten (Dutch part),,,,,,,0,0,,1,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,1,0,,,,,,,,1,,,,,0,11,,,,,,,,,,,1,,,,,,,,,0,,,,,1,4,,0,,,4,0,,,,,,0,4,0,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,2,0,,0,,0,,,,,,,,,,,0,,,,,,,,,0,1,,,,0,,,,,,,36
Slovak Republic,0,0,0,,,0,0,0,0,,1,14,0,,,0,0,0,14,0,0,,,0,0,0,0,,2,0,0,,0,0,0,,,,,0,4,0,,0,,0,0,1,,,0,399,1,,0,0,0,1,0,,,0,0,0,,0,29,0,,0,0,11,0,0,,0,,0,0,0,0,,0,,124,0,0,0,0,0,1,,0,5,0,0,0,0,0,0,,1,,0,0,0,0,1,0,0,,,0,2,,0,0,0,0,,,0,,,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,,1,0,0,,0,0,0,0,0,8,0,,0,5,1,0,0,,0,0,0,4,0,0,,,,1,0,,0,,5,0,,,,,0,,0,2,3,0,0,0,0,,0,,0,0,0,,,0,0,13,,2,5,0,,0,0,6,,0,0,0,,675
Slovenia,0,0,0,,,0,,3,0,0,10,51,0,,,0,0,0,12,0,0,,,0,144,0,0,,2,0,0,0,0,0,2,,,,,0,9,0,,0,,0,0,117,,,0,3,0,,0,1,0,1,,,,0,0,,0,0,49,,,0,0,58,0,0,,,,0,0,0,0,0,0,,5,0,1,0,0,0,0,,0,24,0,0,0,0,0,,,0,73,0,0,0,0,0,,0,,,0,2,,11,0,0,0,,0,0,,,0,0,,1,,0,4,0,0,0,0,0,1,,0,0,,1,,0,0,0,,0,0,0,0,1,1,0,,0,1,1,0,,,,0,0,110,,0,,,3,,0,,0,,7,0,,,,,0,,,7,17,0,0,0,2,,0,,0,0,0,,,,0,3,,1,3,0,,,0,0,,0,0,0,,751
Solomon Islands,,,0,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,64,,,,,,,,,,,,,,,,,,,1,2,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,,,1,,0,,,,,,100
Somalia,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,1
South Africa,0,0,0,,,0,,1,,,17,15,,,,30,0,0,166,,0,6,,0,0,40,4,,4,,1,,,1,3,,,,,0,127,0,0,1,,,0,1,,4,2,5,13,,,,,16,,,,0,15,,0,1,93,,,,,116,1,4,,,,0,0,0,0,,,1,,0,175,2,0,0,12,,8,59,0,5,0,,38,,,3,,0,0,0,1,7,439,1,,,1,1,,0,1,10,1,0,0,1,,,12,0,,,,,,2,130,0,11,0,31,,2,0,0,304,,3,0,24,,0,0,0,0,5,17,106,,,1,2,3,,,,0,7,7,1,0,,2,1,,0,,,,9,3,0,,,,0,,28,2,6,0,,3,4,,,,0,0,0,,,,16,5,,107,36,0,,,0,0,,0,0,16,,"2,364"
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,20,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,,348
Spain,,2,65,,,0,,148,30,,26,54,,,,24,,3,968,,0,,,268,2,,166,,198,0,,5,,4,5,,,,,0,"1,065",625,,0,,15,2,3,,,0,43,63,,0,494,954,22,22,,,4,3,,,45,"2,763",,,53,31,893,3,3,,,,36,5,5,,,157,,70,7,170,4,4,0,17,,6,244,,20,9,0,5,,,9,,,,,9,32,,2,,,80,43,,0,,,,,41,2,,,,81,,41,,,,"1,719",,,,8,81,,1,33,,706,,69,,188,,22,,57,352,165,138,281,,,792,43,,,,,1,215,11,,1,,,27,5,,,3,,,,,,,,,,,248,263,2,,,10,,1,,,9,1,,,,,114,,135,80,29,,,30,6,,,,,,"16,015"
Sri Lanka,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,"1,141",,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,0,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,"1,155"
St. Kitts and Nevis,,,,,,,0,,,,0,,,,,0,0,,0,,,1,,0,,,0,,,,,,0,,0,,,,,,0,,,,,,,,,0,0,,,,0,2,,0,,,,,,,,,0,,,,,0,0,0,,0,,,,,1,0,0,,,,0,0,0,,0,,0,0,0,,,,0,,,,,,,,,0,,,,,0,,,,,,,,,0,,,0,0,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,0,,,,0,,,,,0,,,,0,,0,,,,,0,,0,,,0,,0,,0,,,0,0,,0,0,,,,0,,,,,,0,,,0,2,,,,0,0,,,,,,7
St. Lucia,,,,,,,0,,,0,0,,,,,,1,,,0,,1,,,,,0,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,0,0,,,,,,,0,,,,1,,,,,0,0,,,0,,0,,,1,,,,,,0,,,,,,,0,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,0,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,0,,0,,,,0,,,,,,,0,,,,,,,,,0,1,,,,0,,,,,,,8
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,0,2,,,,,,,,,,,5
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,6,,,0,,,,,,,,,,,,,,63,,,,,21,,,,,,,,,,,,,,,,0,,,,,,,,4,,,0,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,2,,,,,,,,,,,0,,,,322
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,102
Swaziland,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,11,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,15
Sweden,4,2,3,,,0,0,2,7,,17,32,4,,,16,0,2,48,0,0,1,0,7,72,0,10,,10,0,1,0,0,1,3,,,,,0,185,21,0,0,,2,1,12,,,0,8,223,1,0,2,5,30,8,,,26,15,,0,568,110,,,15,4,186,1,12,,0,,4,0,0,0,0,2,0,127,30,105,5,57,16,2,,6,25,1,12,16,0,12,0,,27,38,0,3,0,15,277,0,3,,,41,9,,3,0,0,1,0,0,1,0,,0,4,0,2,,8,1,21,0,0,0,2,16,,1,2,0,85,,158,0,31,,1,0,0,14,53,152,7,,3,24,13,1,0,,0,2,3,24,0,0,,,5,5,0,,3,,78,27,,0,,0,1,0,0,,14,19,2,1,211,0,1,0,0,17,17,,,,17,9,,8,41,1,,0,0,74,,1,3,0,,"3,702"
Switzerland,1,2,11,,,0,0,5,2,,29,364,1,,,5,0,1,351,0,1,,0,6,75,0,53,,8,0,0,3,1,7,11,,,,,0,124,22,0,1,,5,2,39,,,0,70,31,0,0,37,12,37,2,,,2,5,,0,20,"1,941",,,3,2,"1,385",1,8,,0,,6,1,0,0,3,3,,140,2,102,8,8,1,4,,9,704,2,28,3,0,14,0,,9,339,0,2,0,4,69,0,1,,,5,71,,36,7,0,2,0,1,2,0,,5,12,,3,,3,5,44,1,0,0,3,39,,1,1,0,79,,9,0,13,,2,0,1,19,64,52,450,,2,15,13,2,0,,0,1,11,389,0,0,,,47,17,0,,10,,573,131,0,0,,0,0,0,0,115,,2,1,0,116,0,3,0,0,41,31,,,0,4,11,,17,82,1,,0,1,58,,0,1,0,,"8,778"
Syrian Arab Republic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,199
Tajikistan,1,,0,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,,1,,,,,,,,,0,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,0,1,,,,,,,,,,,187
Tanzania,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,27,,,,3,,,,,,124,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,138,,,,,,,15,,,,,96,,,,,,,,,,0,,,,,,,,,1,,,,,,,1,,,,,,,,3,,0,,,,,,,,,,,5,,,,,,,,,,,,,12,,,,,,,0,,,,,,,,9,,,,,,,,,,0,,,,,,,,,,,,,,,,29,,,7,37,,,,,,,,,2,,542
Thailand,0,,,,,,,,,,53,,,,,12,,,,,,,,,,,9,,,,,,178,0,5,,,,,,838,,,0,,,0,,,,,,19,,,,,0,,,,,,,,8,281,,,,,92,,,,,,,,,,,,1,,,180,5,1,0,,,,20,,293,,,,,,35,,,,40,,,,0,,,,,,,,,7,,,,,,,4,,,,,,,,124,,16,9,,1,,,26,,14,,12,,,,,,66,,1,,,,5,0,,,,0,,,,,,,,,,,3,,,19,,,,,0,,,72,27,,,,,,0,,,,0,,,,,,,30,87,,,,,62,,0,,,,"2,655"
Timor-Leste,,,,,,,,,,,3,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,1,,,,,,25
Togo,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,0,,,,,,,,,,,,,0,,,2,,,,,,,,,,,,,,,,,,,,61,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,6,233,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,338
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Trinidad and Tobago,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,1,8,,,,0,,,,,,,21
Tunisia,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,41,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,68
Turkey,2,4,1,,,0,,0,3,0,20,118,36,,,1,0,0,275,0,0,1,0,0,4,0,1,,830,,0,,0,0,2,,,,,0,13,0,0,0,,0,0,1,,0,9,7,26,,0,0,,6,0,,,0,0,,0,9,295,0,,0,26,"1,537",0,69,,,,0,0,,0,,0,0,6,0,3,0,15,1,1,,10,11,0,11,6,1,1,,,2,,0,11,0,0,17,0,0,,,2,2,,44,0,0,0,0,0,0,0,,0,0,,11,,1,83,1,0,,0,0,51,0,0,0,0,8,,20,0,4,,0,0,0,0,3,9,1,,1,29,19,0,0,,,6,0,283,0,0,,,2,1,0,,1,,16,0,,0,,,0,0,,88,65,224,2,0,1,0,0,,0,2,,,,0,0,8,,10,44,0,,0,0,0,,1,0,0,,"4,435"
Turkmenistan,,,,,,,,,6,,,,7,,,,,8,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,6,,2,,,,,,11,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,0,,,,,36,,,,,,,,0,,,,,,205
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,14
Tuvalu,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0
Uganda,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,2,,,,0,,,,,,2,,,3,,,0,,,,,,1,,,,,,,,,,0,,,,3,,,,,1,,0,,,,,,,,,,,,,15,,,,,,,1,,1,,,72,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,0,,,,1,,,,,,,,,,,,0,31,,,,,,,,,,,,,,,,,0,,,,,,3,,,0,,,,4,,,0,,,,,,,,,,,0,2,,,,,,,,,0,,146
Ukraine,0,0,0,,,0,,0,118,,0,,123,,,0,0,193,3,0,0,,0,0,0,,0,,2,,0,,0,0,0,,,,,0,28,0,,0,,0,,0,,,0,35,0,,,0,0,1,0,,,25,0,,0,1,18,2,,0,165,243,0,0,,0,,0,0,0,,0,0,0,82,0,5,0,1,0,0,,1,1,0,0,4,12,0,,,1,,0,67,0,44,8,,0,,,98,1,,,0,,0,,0,0,,,,0,,305,,13,,1,0,,0,0,0,6,0,0,0,5,,1,0,1,,0,,0,0,0,261,0,,,,"2,219",0,,,,0,0,,0,,,,7,1,0,,0,,2,0,,,,,0,0,,1,0,0,154,0,0,,0,,,1,0,,,,0,,,0,2,0,,,0,11,,0,1,0,,"4,280"
United Arab Emirates,1,,,,,,,,,,,,,,,"2,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,837",,,,,13,,,,130,,,,,,,,,,,,,,,,,,,,"12,638",716,364,,,,,,,,701,,,,,,,1,,,,285,,,,,,,,,,,,,,,,,,,,,,,,23,,,,666,5,,,,,150,,,,"4,151",,,,,,"3,457",,,,24,,,,,,,7,,,,,,,,,,,,,,624,,,,,61,,,,,30,,,60,,,,,20,17,,,,,,,12,34,,,,,,,41,562,,,"29,253"
United Kingdom,10,15,24,,,0,,9,,,527,87,,,,512,17,5,696,,,,,,8,,73,,74,,,,,10,82,,,,,0,966,46,,2,,,,16,,,41,197,113,,2,,11,164,,,,24,16,,6,51,"1,737",,,31,,"1,181",16,32,,4,,,,,15,,,42,396,,"3,641",23,62,9,417,,50,353,281,155,33,0,494,,,52,31,0,,,165,190,,,,,547,,,,,4,50,,,174,,,77,20,,,,,,53,4,1,,117,96,,34,,,"3,735",,63,8,"1,259",,,,,,558,"1,255",192,,,104,31,,,,,33,,,,8,,,227,,,,276,,755,504,,5,,3,2,,,362,72,4,,12,228,,,,7,31,29,,,,271,32,,,483,,,,2,124,,3,39,12,,"25,115"
